s_no,registration_no,certificate_s_no,category_of_variety,denomination_of_the_candidate_variety,crop,crop_group,name_of_applicant,applicant_category,date_of_filling,application_no,date_of_certificate_issue,maximum_protection_period_up_to,provisional_protection_claim
1498,686 of 2014,1536,Farmer,DHOBGAINI,Rice,Cereals,"Kasal Bariha, At-Kansdol, Block- Gaisilat, Dist- Bargarh, State-Odisha",Farmer,12-Jul-2011,F145 OS15211 393,12 November 2014,11 November 2029,12-Jul-2011  to 12-Nov-2014
1499,687 of 2014,1537,Farmer,Nangudi,Rice,Cereals,"Bata Krushna Sahoo and others At- Jafarpur, Block- Jajpur, Dist- Jajpur, State-Odisha",Farmer,21-Sep-2011,F689 OS708 11 1025,12 November 2014,11 November 2029,21-Sep-2011  to 12-Nov-2014
1500,688 of 2014,1538,Farmer,KADELKERA,Rice,Cereals,"Gajendra Patel & Others, At-Kalobahal, Block-Tangarpali, Dist-Sundargarh, State- Odisha",Farmer,28-Sep-2011,F898 OS918 11 1235,12 November 2014,11 November 2029,28-Sep-2011  to 12-Nov-2014
1501,689 of 2014,1539,Farmer,JHUMER,Rice,Cereals,"Suren Pradhan and others, R/o Bhainsa, Block- Patnagarh, Dist- Balangir, State-Odisha",Farmer,22-Sep-2011,F744 OS764 11 1081,12 November 2014,11 November 2029,22-Sep-2011  to 12-Nov-2014
1502,690 of 2014,1540,Farmer,LAHUNI LUHUDI,Rice,Cereals,"Pabitra Bagh and others, R/o Filingibahal, Block- Sadar block, Dist- Sundargarh,State-Odisha",Farmer,29-Sep-2011,F904 OS924 11 1241,12 November 2014,11 November 2029,29-Sep-2011  to 12-Nov-2014
1503,691 of 2014,1541,Farmer,Khadiasola,Rice,Cereals,"Bichitra Mohalik, At-Baligaon, Block- Chandabali, Dist- Bhadrak, State-Odisha",Farmer,23-Sep-2011,F779 OS799 11 1116,12 November 2014,11 November 2029,23-Sep-2011  to 12-Nov-2014
1504,692 of 2014,1542,Farmer,BAIDI HUNDAR,Rice,Cereals,"Pabitra Dharua, At-Chanutmal, Block-Munibahal, Dist-Balangir, State-Odisha",Farmer,21-Sep-2011,F680 OS699 11 1016,12 November 2014,11 November 2029,21-Sep-2011  to 12-Nov-2014
1505,693 of 2014,1543,Farmer,MOTI,Rice,Cereals,"Kartika Kalsai, At-Dhubalpada, Block- Patnagarh, Dist- Balangir, State- Odisha",Farmer,22-Sep-2011,F732 OS752 11 1069,12 November 2014,11 November 2029,22-Sep-2011  to 12-Nov-2014
1506,694 of 2014,1544,Farmer,JIRADHAN,Rice,Cereals,"Marshel Xess and others R/o Patua, Block- Lathikata, Dist- Sundargarh, State-Odisha",Farmer,28-Sep-2011,F889 OS909 11 1226,12 November 2014,11 November 2029,28-Sep-2011  to 12-Nov-2014
1507,695 of 2014,1545,Farmer,KANDALAI,Rice,Cereals,"Sh. Johan Pradhan, At- Toperikia, Block- K.Nuagaon, Dist- Kandhamal, State-Odisha",Farmer,26-Sep-2011,F820 OS840 11 1157,12 November 2014,11 November 2029,26-Sep-2011  to 12-Nov-2014
1508,696 of 2014,1546,Farmer,NADIASITA,Rice,Cereals,"Smt. Indra Sahu and others, R/o Kusumendi, Block- Chakapad, Dist- Kandhamal, State-Odisha",Farmer,26-Sep-2011,F816 OS836 11 1153,12 November 2014,11 November 2029,26-Sep-2011  to 12-Nov-2014
1509,697 of 2014,1547,Farmer,MUKTA KIARI,Rice,Cereals,"Tusarakanti Bal, At- Ghatapur, Block- Chandabali, Dist- Bhadrak, State-Odisha",Farmer,23-Sep-2011,F777 OS797 11 1114,12 November 2014,11 November 2029,23-Sep-2011  to 12-Nov-2014
1510,698 of 2014,1548,Farmer,Balangir-Mugdhi,Rice,Cereals,"Purna Ch Rout, At-Bandhan Bhadi, Block- Patnagarh, Dist- Balangir, State odisha",Farmer,22-Sep-2011,F729 OS749 11 1066,12 November 2014,11 November 2029,22-Sep-2011  to 12-Nov-2014
1511,699 of 2014,1549,Farmer,Bhatta,Rice,Cereals,"Dama Pujari, At-Tumudibandh, Block- Tumudibandh, Dist- Kandhamal, Stata- Odisha",Farmer,26-Sep-2011,F825 OS845 11 1162,12 November 2014,11 November 2029,26-Sep-2011  to 12-Nov-2014
1512,700 of 2014,1550,Farmer,Mugudhi Jhili,Rice,Cereals,"Anantaram Sahu, At-ChacherBeng, Block- Belpada, Dist- Balangir, State-Odisha",Farmer,21-Sep-2011,F666 OS685 11 1002,12 November 2014,11 November 2029,21-Sep-2011  to 12-Nov-2014
1513,701 of 2014,1551,Farmer,MOGRA,Rice,Cereals,"Chudamani Patel, At-Chanutmal, Block- Munibahal, Dist-Balangir, State-Odisha",Farmer,21-Sep-2011,F681 OS700 11 1017,12 November 2014,11 November 2029,21-Sep-2011  to 12-Nov-2014
1514,702 of 2014,1552,Farmer,Kapaanthi,Rice,Cereals,"Chhanda Padhan, At-Baidipali, Block- Balangir, Dist- Balangir, State-Odisha",Farmer,27-Sep-2011,F856 OS876 11 1193,12 November 2014,11 November 2029,27-Sep-2011  to 12-Nov-2014
1515,703 of 2014,1553,Farmer,Sareaa,Rice,Cereals,"Ganashyam Dharua, At-Dhandamunda, Block- Belpada, Dist- Balangir, State-Odisha",Farmer,21-Sep-2011,F665 OS684 11 1001,12 November 2014,11 November 2029,21-Sep-2011  to 12-Nov-2014
1516,704 of 2014,1554,Farmer,Pustak,Rice,Cereals,"Prasanna Pradhan, At-Ampali, Block- Balangir, Dist- Balangir, State-Odisha",Farmer,27-Sep-2011,F857 OS877 11 1194,12 November 2014,11 November 2029,27-Sep-2011  to 12-Nov-2014
1517,705 of 2014,1555,Farmer,Jhup Jhupa,Rice,Cereals,"Bharat Chandra Kumura,At- Jharbeda, Block- Gurundia, Dist- Sundargarh, State-Odisha",Farmer,28-Sep-2011,F882 OS902 11 1219,12 November 2014,11 November 2029,28-Sep-2011  to 12-Nov-2014
1518,706 of 2014,1556,Farmer,Ranisaheb,Rice,Cereals,"Prafulla Kumar Sahu,At- Beda Pada, Block- Bangomunda, Dist- Balangir, State-Odisha",Farmer,21-Sep-2011,F685 OS704 11 1021,12 November 2014,11 November 2029,21-Sep-2011  to 12-Nov-2014
1519,707 of 2014,1557,Farmer,PANIKOILI,Rice,Cereals,"Amrut Ranjan Giri and othersR/o Barkolikhala, Block- Mahakalapada, Dist-Kendrapada, State-Odisha",Farmer,22-Sep-2011,F756 OS776 11 1093,12 November 2014,11 November 2029,22-Sep-2011  to 12-Nov-2014
1520,708 of 2014,1558,Farmer,BIDU SANKARI,Rice,Cereals,"Anadi Sahoo, At- Dedgaon, Block- Bangomunda, Dist- Balangir, State-Odisha",Farmer,21-Sep-2011,F683 OS702 11 1019,12 November 2014,11 November 2029,21-Sep-2011  to 12-Nov-2014
1521,709 of 2014,1559,Farmer,CHAMARMANI,Rice,Cereals,"BASUDHA, Binodbati, P.O. Layekbandh, Bankura- 722157, West Bengal",Farmer,19-Apr-2011,F45 OS49 11 224,12 November 2014,11 November 2029,19-Apr-2011  to 12-Nov-2014
1522,710 of 2014,1560,Farmer,Mahulrani,Rice,Cereals,"Jubaraj Khamari, At-Kundapathar, Block- Balangir, Dist- Balangir, State-Odisha",Farmer,27-Sep-2011,F854 OS874 11 1191,12 November 2014,11 November 2029,27-Sep-2011  to 12-Nov-2014
1523,711 of 2014,1561,Farmer,SAMUDRA BALI,Rice,Cereals,"Talaram Balia and others, R/o Kasiguda, Block- Boipariguda, Dist- Koraput, State-Odisha",Farmer,8-Jun-2011,F70 OS76 11 276,12 November 2014,11 November 2029,08-Jun-2011  to 12-Nov-2014
1524,712 of 2014,1562,Farmer,MAGRA-P,Rice,Cereals,"Mitrabhanu Rana and others, At-Surda, Block-Balangir, Dist- Balangir, State-Odisha",Farmer,22-Sep-2011,F719 OS739 11 1056,12 November 2014,11 November 2029,22-Sep-2011  to 12-Nov-2014
1525,713 of 2014,1563,Farmer,GORUMANI,Rice,Cereals,"Anandeswar Kanhar & OthersAt-Mediakia, Block-Ballisuda, Dist-Kandhamal, State- Odisha",Farmer,26-Sep-2011,F826 OS846 11 1163,12 November 2014,11 November 2029,26-Sep-2011  to 12-Nov-2014
1526,714 of 2014,1564,Farmer,SATHIA (Kala Sathia),Rice,Cereals,"Biresh Chandra Dwivedi & otherAt-Betanda, Block-Rasulpur, Dist- Jajpur, State-Odisha",Farmer,21-Sep-2011,F708 OS727 11 1044,12 November 2014,11 November 2029,21-Sep-2011  to 12-Nov-2014
1527,715 of 2014,1565,Farmer,Balangir-Parijat,Rice,Cereals,"Meghanad Pradhan, At-Ratakhandi, Block- Deogaon, Dist- Balangir, State-Odisha",Farmer,21-Sep-2011,F674 OS693 11 1010,12 November 2014,11 November 2029,21-Sep-2011  to 12-Nov-2014
1528,716 of 2014,1566,Farmer,BHALUNKI,Rice,Cereals,"Pradip Jena, At-Barkolikhala, Block-Mahakalapada, Dist- Kendrapada, State-Odisha",Farmer,22-Sep-2011,F758 OS778 11 1095,12 November 2014,11 November 2029,22-Sep-2011  to 12-Nov-2014
1529,717 of 2014,1567,Farmer,Luchi,Rice,Cereals,"Murali Mahananda, At-Ampali, Block- Saintala, Dist- Balangir, State-Odisha",Farmer,22-Sep-2011,F724 OS744 11 1061,12 November 2014,11 November 2029,22-Sep-2011  to 12-Nov-2014
1530,718 of 2014,1568,Farmer,CHINAGIRI,Rice,Cereals,"Bijay Kumar Pal & Others, At-Kendudipi, Block-Danagadi, Dist-Jajpur, State-Odisha",Farmer,21-Sep-2011,F693 OS712 11 1029,12 November 2014,11 November 2029,21-Sep-2011  to 12-Nov-2014
1531,719 of 2014,1569,Farmer,Lalgundi,Rice,Cereals,"Jagannath Mahamallik, At-Dhubalpada, Block- Patnagarh, Dist- Balangir, State-Odisha",Farmer,22-Sep-2011,F734 OS754 11 1071,12 November 2014,11 November 2029,22-Sep-2011  to 12-Nov-2014
1532,720 of 2014,1570,Farmer,LANGUDI,Rice,Cereals,"Karunakar Bagati, At- Kumbhe Kela, Block- Saintala, Dist-Balangir, State-Odisha",Farmer,22-Sep-2011,F726 OS746 11 1063,13 November 2014,12 November 2029,22-Sep-2011  to 13-Nov-2014
1533,721 of 2014,1571,New,NMH-731,Maize,Cereals,Nuziveedu Seeds Limited,Private,13-Apr-2009,N6 ZM19 09 150,13 November 2014,12 November 2029,13-Apr-2009  to 13-Nov-2014
1534,722 of 2014,1572,New,KSMS 234,Sorghum,Cereals,M/S Kaveri Seed Company Limited,Private,9-Feb-2010,N01 SB01 10 037,13 November 2014,12 November 2029,09-Feb-2010  to 13-Nov-2014
1535,723 of 2014,1573,Extant,DRMR 601 (NRCDR 601),Indian mustard (Sarso),Oilseeds,Indian Council of Agricultural Research (ICAR),Public,6-Jun-2014,E1 BJ21 14 1258,13 November 2014,31 March 2025,06-Jun-2014  to 13-Nov-2014
1536,724 of 2014,1574,Extant (VCK),DYNA,Tetraploid Cotton,Fibre Crops,Vibha Agrotech Limited,Private,23-Apr-2008,E258 GH115 08 365,20 November 2014,19 November 2029,23-Apr-2008  to 20-Nov-2014
1537,725 of 2014,1575,Extant,Vallabh Basmati 22 (MAUB-162),Rice,Cereals,Sardar Vallabhbhai Patel University of Agri. And Technology.,Public,12-Jun-2014,E10 OS808 14 1272,20 November 2014,26 August 2028,12-Jun-2014  to 20-Nov-2014
1538,726 of 2014,1576,Extant (VCK),Saguna (NR-28),Rice,Cereals,Nirmal Seeds Private Ltd.,Private,22-Sep-2009,E18 OS47 09 383,20 November 2014,19 November 2029,22-Sep-2009  to 20-Nov-2014
1539,727 of 2014,1577,New,G9650798,Tetraploid Cotton,Fibre Crops,Monsanto Genetics India Private Limited,Private,3-Apr-2008,N84 GH76 08 308,20 November 2014,19 November 2029,03-Apr-2008  to 20-Nov-2014
1540,728 of 2014,1578,Extant,Varun (ACPR-94040),Kidney bean,Legumes,Indian Council of Agricultural Research (ICAR),Public,29-Oct-2009,E1 PV1 09 446,21 November 2014,03 September 2017,29-Oct-2009  to 21-Nov-2014
1541,729 of 2014,1579,New,KMH-3426,Maize,Cereals,M/S Kaveri Seed Company Limited,Private,24-Aug-2009,N18 ZM42 09 348,21 November 2014,20 November 2029,24-Aug-2009  to 21-Nov-2014
1542,730 of 2014,1580,Extant,Arun (IPR 98-3-1),Kidney bean,Legumes,Indian Council of Agricultural Research (ICAR),Public,2-Jan-2008,E400 PV1 08 31,02 December 2014,19 July 2022,02-Jan-2008  to 02-Dec-2014
1543,731 of 2014,1581,Extant (VCK),Palak,Indian mustard (Sarso),Oilseeds,Nirmal Seeds Private Ltd.,Private,13-Oct-2011,E1 BJ1 11 1270,02 December 2014,01 December 2029,13-Oct-2011  to 02-Dec-2014
1544,732 of 2014,1582,Extant,Malav Shakti (HI8498),Durum Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,1-Nov-2013,E5 TD5 13 750,03 June 2014,07 June 2014,01-Nov-2013  to 03-Jun-2014
1545,733 of 2014,1583,New,KSMS 237,Sorghum,Cereals,M/S Kaveri Seed Company Limited,Private,9-Feb-2010,N03 SB03 10 039,02 December 2014,01 December 2029,09-Feb-2010  to 02-Dec-2014
1546,734 of 2014,1584,Extant,H-1300,Tetraploid Cotton,Fibre Crops,CCS Haryana Agricultural University,Public,28-May-2014,E31 GH69 14 1243,02 December 2014,25 July 2027,28-May-2014  to 02-Dec-2014
1547,735 of 2014,1585,Extant,H 1236,Tetraploid Cotton,Fibre Crops,CCS Haryana Agricultural University,Public,28-May-2014,E30 GH68 14 242,03 December 2014,30 August 2025,28-May-2014  to 03-Dec-2014
1548,736 of 2014,1586,Extant (VCK),PARASMANI-1+,Indian mustard (Sarso),Oilseeds,"M/S Shakti Vardhak Hybris Seeds Pvt. Ltd., Haryana",Private,14-Sep-2012,E2 BJ3 12 403,03 December 2014,02 December 2029,14-Sep-2012  to 03-Dec-2014
1549,737 of 2014,1587,New,TULASI-4,Tetraploid Cotton,Fibre Crops,M/S Tulasi Seeds Pvt. Ltd.,Private,3-Jun-2008,N107 GH119 08 375,03 December 2014,02 December 2029,03-Jun-2008  to 03-Dec-2014
1550,738 of 2014,1588,Extant (VCK),DURGA (NTL-30),Pigeon Pea,Legumes,Nirmal Seeds Private Ltd.,Private,1-Aug-2007,E1 CC05 07 132,03 December 2014,02 December 2029,01-Aug-2007  to 03-Dec-2014
1551,739 of 2014,1589,Extant,H 1098-improved,Tetraploid Cotton,Fibre Crops,CCS Haryana Agricultural University,Public,28-May-2014,E29 GH67 14 1241,03 December 2014,30 August 2025,28-May-2014  to 03-Dec-2014
1552,740 of 2014,1590,New,C 5197,Tetraploid Cotton,Fibre Crops,Maharashtra Hybrid Seeds Company Limited,Private,2-Apr-2008,N67 GH 50 08 276,03 December 2014,02 December 2029,02-Apr-2008  to 03-Dec-2014
1553,741 of 2014,1591,Farmer,GANGA BHALU,Rice,Cereals,"Hajaru Mallik & Others, At- Fatamunda, Block: Padampur, Dist-Bargarh, State- Odisha",Farmer,12-Jul-2011,F146 OS153 11 394,03 December 2014,02 December 2029,12-Jul-2011  to 03-Dec-2014
1554,742 of 2014,1592,Farmer,BENABAHAR,Rice,Cereals,"Jagabandhu Sahoo & Others At-Matiapada, Block-Baramba, Dist-Cuttack State- Odisha",Farmer,7-Sep-2011,F239 OS255 11 569,03 December 2014,02 December 2029,07-Sep-2011  to 03-Dec-2014
1555,743 of 2014,1593,Farmer,BIRU,Rice,Cereals,"Gopal Amat & others At-Musabira, Block-Lephripada, Dist-Sundargarh, State-Odisha",Farmer,28-Sep-2011,F894 OS914 11 1231,03 December 2014,02 December 2029,28-Sep-2011  to 03-Dec-2014
1556,744 of 2014,1594,Farmer,BADI,Rice,Cereals,"Champi Danu and others, R/o Bada Balsa, Block- Pottangi, Dist- Koraput, State-Odisha",Farmer,8-Jun-2011,F65 OS71 11 271,03 December 2014,02 December 2029,08-Jun-2011  to 03-Dec-2014
1557,745 of 2014,1595,Farmer,RANGAMAHARAJ,Rice,Cereals,"Binod Kumar Sahu, At-Khajuripada, Block- Khajuripada, Dist- Kandhamal, State-Odisha",Farmer,26-Sep-2011,F810 OS830 11 1147,03 December 2014,02 December 2029,26-Sep-2011  to 03-Dec-2014
1558,746 of 2014,1596,Farmer,BIRIAJNA,Rice,Cereals,"Smt. Kamalini Samal, At- Dharampur, Block- Binjharpur, Dist- Jajpur, State-Odisha",Farmer,21-Sep-2011,F696 OS715 11 1032,03 December 2014,02 December 2029,21-Sep-2011  to 03-Dec-2014
1559,747 of 2014,1597,Farmer,BUDI BANKO,Rice,Cereals,"Ghanakesi Bhoi, At- Munibahal, Block- Munibahal, Dist- Balangir, State-Odisha",Farmer,21-Sep-2011,F679 OS698 11 1015,03 December 2014,02 December 2029,21-Sep-2011  to 03-Dec-2014
1560,748 of 2014,1598,Farmer,Udasiali,Rice,Cereals,"Tilak Gyanendra Behera, At--Brahmanigaon, Block- Basudevpur, Dist- Bhadrak, State-Odisha",Farmer,23-Sep-2011,F789 OS809 11 1126,03 December 2014,02 December 2029,23-Sep-2011  to 03-Dec-2014
1561,749 of 2014,1599,Farmer,MUTURA-B,Rice,Cereals,"Kanhei Panda, At-Brahmanigaon, Block-Basudevpur, Dist- Bhadrak, State-Odisha",Farmer,23-Sep-2011,F787 OS807 11 1124,03 December 2014,02 December 2029,23-Sep-2011  to 03-Dec-2014
1562,750 of 2014,1600,Farmer,DASHARAGETI,Rice,Cereals,"Purnananda Behera, At- Brahmanigaon, Block- Basudevpur, Dist-Bhadrak, State-Odisha",Farmer,23-Sep-2011,F788 OS808 11 1125,03 December 2014,02 December 2029,23-Sep-2011  to 03-Dec-2014
1563,751 of 2014,1601,New,NBCH-2008-2,Castor,Oilseeds,Navbharat Seeds Pvt. Ltd.,Private,14-Sep-2010,N5 RC5 10 271,03 December 2014,02 December 2029,14-Sep-2010  to 03-Dec-2014
1564,752 of 2014,1602,Extant,H 432,Diploid cotton,Fibre Crops,CCS Haryana Agricultural University,Public,28-May-2014,E1 GA1 14 1244,04 December 2014,03 December 2029,28-May-2014  to 04-Dec-2014
1565,753 of 2014,1603,Extant (VCK),Jawahar Jowar 1022,Sorghum,Cereals,Rajmata Viajayaraje Scindia Krishi Vishwavidyalaya,Public,10-Jun-2009,E10 SB33 09 288,04 December 2014,03 December 2029,10-Jun-2009  to 04-Dec-2014
1566,754 of 2014,1604,Farmer,TULASIPHUL,Rice,Cereals,"Laldeo Singh & Others, At- Bausjore, Bloack-Nuagaon, Dist-Sundargarh, State- Odisha",Farmer,28-Sep-2011,F887 OS907 11 1224,04 December 2014,03 December 2029,28-Sep-2011  to 04-Dec-2014
1567,755 of 2014,1605,New,Vivek Sankul Makka 35 (VL 113),Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,24-Aug-2009,N16 ZM36 09 342,04 December 2014,03 December 2029,24-Aug-2009  to 04-Dec-2014
1568,756 of 2014,1606,New,HM-11 (HKH-1237),Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Sep-2009,N20 ZM44 09 364,04 December 2014,03 December 2029,07-Sep-2009  to 04-Dec-2014
1569,757 of 2014,1607,Extant,Pusa Cabbage-1 (KGMR-1),Cabbage,Vegetables,Indian Council of Agricultural Research (ICAR),Public,7-May-2014,E1 BC2 14 10 65,04 December 2014,03 October 2027,07-May-2014  to 04-Dec-2014
1570,758 of 2014,1608,Extant,BAUR 9502 (Shivani),Indian mustard (Sarso),Oilseeds,"Birsa Agricultural University, Ranchi, Bihar",Public,23-Apr-2013,E21 BJ21 13 251,05 December 2014,24 August 2020,23-Apr-2013  to 05-Dec-2014
1571,759 of 2014,1609,Extant,Sattya (MH-2-15),Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,2-Jan-2008,E399 VR1 08 27,06 December 2014,09 January 2023,02-Jan-2008  to 06-Dec-2014
1572,760 of 2014,1610,Extant,Pusa Mustard 29 (LET-36),Indian mustard (Sarso),Oilseeds,ICAR-Indian Agricultural Research Institute,Public,4-Oct-2013,E39 BJ35 13 531,06 December 2014,18 September 2028,04-Oct-2013  to 06-Dec-2014
1573,761 of 2014,1611,Extant,Kalaparaksha (CCS-7),Coconut,"Tree, forest and plantation crop",Indian Council of Agricultural Research (ICAR),Public,21-May-2014,E5 CN5 14 1211,06 December 2014,17 July 2023,21-May-2014  to 06-Dec-2014
1574,762 of 2014,1612,Extant,DLSA-17,Diploid cotton,Fibre Crops,"University of Agricultural sciences, Dharwad",Public,23-Jun-2014,E2 GA2 14 1284,06 December 2014,10 February 2024,23-Jun-2014  to 06-Dec-2014
1575,763 of 2014,1613,Extant (VCK),Ladli,Indian mustard (Sarso),Oilseeds,Shakti Vardhak Sees Pvt. Ltd.,Private,14-Sep-2012,E7 BJ8 12 408,06 December 2014,10 December 2029,14-Sep-2012  to 06-Dec-2014
1576,764 of 2014,1614,New,DBW 39,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,5-Oct-2010,N2 TA2 10 310,11 December 2014,10 December 2029,05-Oct-2010  to 11-Dec-2014
1577,765 of 2014,1615,Extant (VCK),Black Gold (NML-100),Indian mustard (Sarso),Oilseeds,Nirmal Seeds Private Ltd.,Private,13-Oct-2011,E2 BJ2 11 1271,11 December 2014,10 December 2029,13-Oct-2011  to 11-Dec-2014
1578,766 of 2014,1616,Farmer,UJADANGA,Rice,Cereals,"Barnaba Pradhan, At-Rapadabadi, Block-Daringbadi, Dist-Kandhamal, State- Odisha",Farmer,26-Sep-2011,F818 OS838 11 1155,11 December 2014,10 December 2029,26-Sep-2011  to 11-Dec-2014
1579,767 of 2014,1617,Farmer,BAKURI,Rice,Cereals,"Udayanath Mallik, At-Arada, Block-Rasulpur, Dist- Jajpur, State-Odisha",Farmer,21-Sep-2011,F707 OS726 11 1043,11 December 2014,10 December 2029,21-Sep-2011  to 11-Dec-2014
1580,768 of 2014,1618,Farmer,Kuliha,Rice,Cereals,"Parsu Rout and others, At- Dharam Sagar, Block- Komna, Dist- Nuapada, State- Odisha",Farmer,11-Jul-2011,F92 OS99 11 340,11 December 2014,10 December 2029,11-Jul-2011  to 11-Dec-2014
1581,769 of 2014,1619,Farmer,TUMBADHAN,Rice,Cereals,"Sanatan Pradhan & Others, At-Gunjigaon, Block-K.Nuagaon, Dist-Kandhamal, State- Odisha",Farmer,26-Sep-2011,F821 OS841 11 1158,11 December 2014,10 December 2029,26-Sep-2011  to 11-Dec-2014
1582,770 of 2014,1620,Farmer,Sankiri Banko,Rice,Cereals,"Swarna Haripal and Others, At-Banchhanagar, Block- Gaisilat, Dist- Bargarh, State-Odisha",Farmer,13-Jul-2011,F166 OS173 11 414,11 December 2014,10 December 2029,13-Jul-2011  to 11-Dec-2014
1583,771 of 2014,1621,Farmer,Kaliasaru,Rice,Cereals,"Balmiki Padhi, At-Balligudu, Block- Kandhamal, Dist-Kandhamal, State-Odisha",Farmer,26-Sep-2011,F827 OS847 11 1164,11 December 2014,10 December 2029,26-Sep-2011  to 11-Dec-2014
1584,772 of 2014,1622,Farmer,Punia,Rice,Cereals,"Rabindra Bhukta, At-Nuapada, Block- Phiringia, Dist- Kandhamal, State-Odisha",Farmer,26-Sep-2011,F811 OS831 11 1148,11 December 2014,10 December 2029,26-Sep-2011  to 11-Dec-2014
1585,773 of 2014,1623,Farmer,NILABATI,Rice,Cereals,"Sarat Kumar Swain, At-Khandeipada, Block- Rajnagar, Dist- Kendrapada, State-Odisha",Farmer,22-Sep-2011,F750 OS770 11 1087,11 December 2014,10 December 2029,22-Sep-2011  to 11-Dec-2014
1586,774 of 2014,1624,Farmer,DUDHASARA,Rice,Cereals,"Sri Sankhali Naik, R/o Baria, Block- Jhumpra, Dist- Keonjhar, State-Odisha",Farmer,5-Sep-2011,F190 OS206 11 520,11 December 2014,10 December 2029,05-Sep-2011  to 11-Dec-2014
1587,775 of 2014,1625,Farmer,SUANTUTI,Rice,Cereals,"Khama Gahir and Others, At-Jamsar, Block- Balangir, Dist- Balangir, State-Odisha",Farmer,22-Sep-2011,F712 OS732 11 1049,11 December 2014,10 December 2029,22-Sep-2011  to 11-Dec-2014
1588,776 of 2014,1626,Farmer,DHOB SARIAN,Rice,Cereals,"Hrusikesh Patel & Others, At-Amapali, Block-Balangir, Dist-Balangir, State-Odisha",Farmer,22-Sep-2011,F710 OS730 11 1047,11 December 2014,10 December 2029,22-Sep-2011  to 11-Dec-2014
1589,777 of 2014,1627,Farmer,RABANA,Rice,Cereals,"Pravat Kumar Ray, R/o Iswar pur, Block- Dasarathpur, Dist- jajpur, State-Odisha",Farmer,21-Sep-2011,F691 OS710 11 1027,11 December 2014,10 December 2029,21-Sep-2011  to 11-Dec-2014
1590,778 of 2014,1628,Farmer,BHAJANA,Rice,Cereals,"Jhatu Mahananda, At-Jamutbahal, Block- Gaisilat, Dist- Bargarh, State-Odisha",Farmer,12-Jul-2011,F144 OS151 11 392,11 December 2014,10 December 2029,12-Jul-2011  to 11-Dec-2014
1591,779 of 2014,1629,Farmer,SELUAPANA,Rice,Cereals,"Kasinath Barik and others, At- Lunga, Block- Basudevpur, Dist- Bhadrak, State-Odisha",Farmer,23-Sep-2011,F786 OS806 11 1123,12 December 2014,11 December 2029,23-Sep-2011  to 12-Dec-2014
1592,780 of 2014,1630,Farmer,Laxmi Vilash,Rice,Cereals,"Biranchi Meher and Others, At-Belpada, Block- Belpada, Dist- Balangir, State-Odisha",Farmer,21-Sep-2011,F667 OS686 11 1003,12 December 2014,11 December 2029,21-Sep-2011  to 12-Dec-2014
1593,781 of 2014,1631,Farmer,DUMERFUL-B,Rice,Cereals,"Rudradhar Pradhan and others, R/o Bali Khama, Block- Belpada, Dist- Balangir, State-Odisha",Farmer,21-Sep-2011,F688 OS707 11 1024,12 December 2014,11 December 2029,21-Sep-2011  to 12-Dec-2014
1594,782 of 2014,1632,Farmer,BHUTA,Rice,Cereals,"Kailash Nayak and others, R/o Banja, Block- Sukinda, Dist- Jajpur, State-Odisha",Farmer,21-Sep-2011,F694 OS713 11 1030,12 December 2014,11 December 2029,21-Sep-2011  to 12-Dec-2014
